study_id,year,ym,male,female,unknown,total
phs000925.v1.p1,2017,2017.16666666667,5225,8324,334,13883
phs000926.v1.p1,2015,2015.58333333333,3,1,0,4
phs000927.v1.p1,2017,2017.25,71,131,0,202
phs000928.v1.p1,2016,2016,9,23,0,32
phs000929.v1.p1,2018,2018.33333333333,32,7335,2,7369
phs000932.v1.p1,2016,2016.08333333333,8,0,0,8
phs000933.v2.p1,2018,2018.16666666667,293,212,0,505
phs000934.v1.p1,2015,2015.58333333333,0,0,1291,1291
phs000935.v1.p1,2016,2016.83333333333,93,66,0,159
phs000936.v1.p1,2015,2015.83333333333,3623,2240,7,5870
phs000938.v1.p1,2015,2015.5,0,0,4,4
phs000939.v2.p1,2017,2017.58333333333,13,7,0,20
phs000941.v1.p1,2015,2015.58333333333,0,0,39,39
phs000942.v1.p1,2016,2016.16666666667,26,232,0,258
phs000944.v1.p1,2016,2016.08333333333,2048,2881,2,4931
phs000946.v5.p1,2021,2021.33333333333,21,53,6,80
phs000947.v1.p1,2015,2015.5,0,325,0,325
phs000948.v1.p1,2015,2015.58333333333,684,1284,0,1968
phs000949.v1.p1,2016,2016.08333333333,1399,1929,12,3340
phs000950.v1.p1,2017,2017.91666666667,0,129,0,129
phs000952.v1.p1,2016,2016.16666666667,1539,1333,1012,3884
phs000953.v1.p1,2015,2015.66666666667,0,0,218,218
phs000954.v4.p2,2021,2021.33333333333,579,710,3,1292
phs000955.v1.p1,2016,2016.41666666667,1744,2385,0,4129
phs000956.v5.p1,2021,2021.33333333333,559,552,1081,2192
phs000957.v1.p1,2015,2015.5,3625,5582,5,9212
phs000958.v1.p1,2015,2015.58333333333,96,104,0,200
phs000959.v1.p1,2019,2019.91666666667,1343,194,0,1537
phs000960.v2.p1,2020,2020.08333333333,0,0,63,63
phs000962.v1.p1,2017,2017.75,228,159,144,531
