,n,male,female,unknown,date
702,103.0,73.0,30.0,0.0,01/09/2017
703,5.0,1.0,4.0,0.0,07/28/2014
704,6.0,2.0,1.0,3.0,05/19/2016
705,6443.0,2943.0,3500.0,0.0,04/29/2016
706,6.0,4.0,2.0,0.0,2017/10/05
707,37.0,14.0,6.0,17.0,2020/03/04
709,981.0,416.0,565.0,0.0,03/15/2012
713,4.0,3.0,1.0,0.0,08/04/2015
714,6238.0,3202.0,2867.0,169.0,2020/07/29
717,8.0,0.0,8.0,0.0,2017/09/06
720,976.0,489.0,487.0,0.0,2021/03/05
723,575.0,92.0,7.0,476.0,11/30/2015
725,11.0,5.0,6.0,0.0,2020/07/16
726,14937.0,6782.0,8155.0,0.0,2020/06/18
727,94.0,58.0,36.0,0.0,03/22/2013
731,66.0,66.0,0.0,0.0,2020/01/30
732,10.0,3.0,7.0,0.0,2017/10/04
733,46.0,7.0,3.0,36.0,2021/02/08
735,9323.0,0.0,9323.0,0.0,2017/08/25
736,8366.0,722.0,962.0,6682.0,2020/12/21
740,658.0,278.0,380.0,0.0,2019/12/26
741,4844.0,943.0,965.0,2936.0,03/26/2015
742,30.0,0.0,15.0,15.0,2020/09/22
746,340.0,0.0,92.0,248.0,2020/03/02
747,14.0,1.0,4.0,9.0,2019/01/30
751,42.0,42.0,0.0,0.0,10/07/2016
753,4.0,4.0,0.0,0.0,2018/06/30
754,3665.0,0.0,3625.0,40.0,2020/11/27
763,6775.0,5275.0,675.0,825.0,12/11/2009
767,9.0,4.0,5.0,0.0,2020/06/18
772,537.0,527.0,6.0,4.0,05/08/2015
776,38.0,22.0,16.0,0.0,2021/05/27
779,12688.0,6342.0,6346.0,0.0,2020/07/06
780,6443.0,2943.0,3500.0,0.0,04/29/2016
781,5634.0,7.0,7.0,5620.0,2020/06/18
783,29.0,0.0,29.0,0.0,2019/04/04
784,1602.0,843.0,758.0,1.0,2021/08/19
787,1103.0,597.0,506.0,0.0,2019/02/06
789,15.0,8.0,7.0,0.0,03/10/2015
797,690.0,97.0,74.0,519.0,2018/10/02
798,537.0,527.0,6.0,4.0,05/08/2015
800,32.0,3.0,8.0,21.0,01/13/2016
801,38.0,22.0,16.0,0.0,2021/05/27
804,475.0,315.0,152.0,8.0,2021/07/13
805,4.0,1.0,0.0,3.0,02/08/2017
808,94.0,56.0,8.0,30.0,03/15/2016
810,3098.0,1180.0,1797.0,121.0,10/21/2015
811,13.0,9.0,4.0,0.0,2021/01/06
813,20.0,5.0,5.0,10.0,2021/03/22
814,1.0,1.0,0.0,0.0,2018/12/28
817,4.0,2.0,2.0,0.0,11/21/2016
818,4048.0,991.0,910.0,2147.0,2021/09/28
819,1006.0,514.0,480.0,12.0,2020/04/30
820,18.0,4.0,5.0,9.0,04/08/2014
825,15.0,9.0,6.0,0.0,2020/06/30
827,3117.0,7.0,5.0,3105.0,2020/09/28
828,91.0,0.0,23.0,68.0,2018/09/17
829,537.0,527.0,6.0,4.0,05/08/2015
830,5130.0,5130.0,0.0,0.0,2017/11/30
831,7.0,1.0,6.0,0.0,2021/06/09
833,13478.0,6105.0,7373.0,0.0,2020/06/18
834,90.0,54.0,4.0,32.0,2019/06/11
835,32.0,32.0,0.0,0.0,2021/01/07
836,6443.0,2943.0,3500.0,0.0,04/29/2016
838,6443.0,2943.0,3500.0,0.0,04/29/2016
839,5464.0,2791.0,2673.0,0.0,2021/08/17
841,899.0,0.0,899.0,0.0,2021/05/04
843,174.0,24.0,29.0,121.0,2021/04/19
844,46.0,15.0,3.0,28.0,09/18/2014
845,625.0,262.0,363.0,0.0,2018/06/14
846,46.0,8.0,15.0,23.0,2020/07/10
848,4.0,1.0,3.0,0.0,09/21/2016
849,82.0,68.0,7.0,7.0,2018/10/31
850,2902.0,676.0,682.0,1544.0,07/25/2014
851,2234.0,964.0,84.0,1186.0,2020/08/06
852,1385.0,698.0,687.0,0.0,2019/10/11
855,9.0,4.0,5.0,0.0,2020/06/18
856,338.0,154.0,184.0,0.0,2020/08/20
857,23.0,3.0,1.0,19.0,2019/11/01
859,7.0,5.0,2.0,0.0,2019/03/28
864,1096.0,42.0,151.0,903.0,2019/07/26
865,469.0,87.0,87.0,295.0,2018/03/09
866,1828.0,1142.0,686.0,0.0,2019/03/22
871,6443.0,2943.0,3500.0,0.0,04/29/2016
873,14.0,3.0,11.0,0.0,2020/05/06
874,22.0,2.0,1.0,19.0,2021/03/30
876,25.0,5.0,20.0,0.0,2021/05/28
877,750.0,115.0,135.0,500.0,03/15/2016
878,550.0,212.0,338.0,0.0,2019/10/17
883,9.0,4.0,5.0,0.0,04/08/2014
884,23.0,8.0,15.0,0.0,2020/07/10
887,595.0,96.0,305.0,194.0,2018/09/26
890,766.0,345.0,277.0,144.0,2019/06/03
897,100.0,67.0,33.0,0.0,2018/04/20
899,23.0,19.0,4.0,0.0,11/30/2015
900,9.0,5.0,4.0,0.0,05/02/2017
905,5464.0,2791.0,2673.0,0.0,2021/08/17
907,8.0,8.0,0.0,0.0,2018/10/23
911,436.0,137.0,102.0,197.0,2021/03/23
913,589.0,340.0,41.0,208.0,09/25/2015
914,22.0,13.0,9.0,0.0,2019/07/25
915,4808.0,568.0,750.0,3490.0,2020/02/04
917,1040.0,517.0,523.0,0.0,2021/01/08
921,6443.0,2943.0,3500.0,0.0,04/29/2016
923,4.0,3.0,1.0,0.0,2021/06/01
924,226.0,5.0,20.0,201.0,2021/05/28
929,73.0,44.0,24.0,5.0,2020/01/10
933,354.0,81.0,273.0,0.0,2019/11/27
934,6443.0,2943.0,3500.0,0.0,04/29/2016
935,914.0,8.0,555.0,351.0,2019/03/11
939,12.0,5.0,7.0,0.0,2021/04/27
941,9.0,2.0,7.0,0.0,2020/01/21
946,5218.0,814.0,724.0,3680.0,2017/12/07
947,82.0,24.0,7.0,51.0,2019/09/19
949,4.0,4.0,0.0,0.0,2021/03/31
950,6.0,2.0,1.0,3.0,2018/05/31
951,46.0,1.0,10.0,35.0,2017/08/25
953,5.0,0.0,1.0,4.0,02/03/2014
955,977.0,90.0,602.0,285.0,2020/12/21
956,6443.0,2943.0,3500.0,0.0,04/29/2016
957,24.0,7.0,17.0,0.0,08/17/2012
958,6443.0,2943.0,3500.0,0.0,04/29/2016
959,1602.0,843.0,758.0,1.0,2021/08/19
962,80834.0,33200.0,47634.0,0.0,2018/02/01
963,942.0,471.0,0.0,471.0,11/13/2015
964,3.0,2.0,1.0,0.0,2018/05/31
966,12785.0,500.0,313.0,11972.0,09/03/2009
968,2757.0,807.0,637.0,1313.0,2021/01/26
969,1090.0,1090.0,0.0,0.0,2020/06/18
970,2235.0,884.0,1250.0,101.0,2021/01/27
971,53.0,0.0,53.0,0.0,06/22/2016
973,4203.0,1816.0,2387.0,0.0,2020/09/18
977,1239.0,535.0,704.0,0.0,2018/06/14
978,42.0,26.0,16.0,0.0,09/24/2013
979,282.0,38.0,23.0,221.0,2020/12/15
986,10.0,6.0,4.0,0.0,2021/06/03
989,3.0,1.0,2.0,0.0,2017/12/19
990,715.0,360.0,355.0,0.0,2020/11/19
991,9.0,5.0,4.0,0.0,2018/11/05
992,28.0,0.0,28.0,0.0,2019/04/04
993,411.0,151.0,230.0,30.0,2019/10/11
996,93.0,49.0,44.0,0.0,2018/05/21
999,80540.0,0.0,56414.0,24126.0,11/08/2013
