"","dbgap_study_id","male","female","total","date_study","repository"
"330","phs000007.v32.pht002347.v2.p13",242,203,445,"2020/12/21","dbgap"
"331","phs002392.v1.pht011254.v1.p1",18,23,41,"2021/07/13","dbgap"
"332","phs000007.v32.pht000903.v4.p13",666,745,1411,"2020/12/21","dbgap"
"333","phs000577.v1.pht007269.v1.p1",174,341,515,"2017/12/20","dbgap"
"334","phs000128.v3.pht000407.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"335","phs001065.v1.pht005412.v1.p1",160,186,346,"05/24/2016","dbgap"
"336","phs000101.v5.pht008311.v1.p1",7015,5214,12229,"2018/08/19","dbgap"
"337","phs000128.v3.pht000572.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"339","phs001455.v1.pht007760.v1.p1",1905,3890,5795,"2018/04/04","dbgap"
"340","phs001418.v1.pht007237.v1.p1",13,20,33,"2018/11/15","dbgap"
"341","phs000287.v7.pht001482.v1.p1",2375,3156,5531,"2020/01/23","dbgap"
"342","phs000286.v6.pht008784.v1.p2",934,1562,2496,"2019/03/11","dbgap"
"343","phs001284.v1.pht009032.v1.p1",125,92,217,"2019/05/09","dbgap"
"344","phs000280.v7.pht004115.v2.p1",4883,6019,10902,"2020/06/18","dbgap"
"345","phs001039.v1.pht005847.v1.p1",15144,20214,35358,"10/19/2016","dbgap"
"346","phs000219.v1.pht001098.v1.p1",359,500,859,"01/19/2010","dbgap"
"347","phs001375.v2.pht006520.v1.p1",408,628,1036,"2021/03/22","dbgap"
"348","phs001570.v2.pht007869.v2.p1",2,275,277,"2020/04/14","dbgap"
"349","phs001737.v2.pht008562.v2.p1",2,1,3,"2019/09/18","dbgap"
"350","phs000234.v2.pht007980.v1.p2",1609,2137,3746,"2018/05/29","dbgap"
"352","phs000209.v13.pht004326.v1.p3",456,494,950,"11/05/2014","dbgap"
"353","phs000001.v3.pht002478.v1.p1",1638,2124,3762,"02/24/2012","dbgap"
"354","phs000354.v1.pht003349.v1.p1",1,11,12,"06/25/2013","dbgap"
"357","phs000286.v6.pht008764.v1.p2",1009,1780,2789,"2019/03/11","dbgap"
"358","phs000144.v1.pht000722.v1.p1",165,216,381,"Wed Jan 21 13:20:40 2009","dbgap"
"359","phs000280.v7.pht006431.v1.p1",6700,7978,14678,"2020/06/18","dbgap"
"360","phs000287.v7.pht001462.v1.p1",2375,3156,5531,"2020/01/23","dbgap"
"361","phs001065.v1.pht005397.v1.p1",4,12,16,"05/24/2016","dbgap"
"362","phs000572.v8.pht003390.v5.p4",6887,8743,15630,"2019/11/19","dbgap"
"363","phs000285.v3.pht001776.v2.p2",16,24,40,"08/20/2013","dbgap"
"364","phs002291.v1.pht010802.v1.p1",4,1,5,"2021/01/21","dbgap"
"365","phs000670.v1.pht003555.v1.p1",194,335,529,"01/22/2014","dbgap"
"366","phs000007.v32.pht000682.v7.p13",1374,1628,3002,"2020/12/21","dbgap"
"367","phs000128.v3.pht000583.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"368","phs000007.v32.pht000146.v8.p13",1521,1754,3275,"2020/12/21","dbgap"
"371","phs001854.v1.pht009252.v1.p1",3,3,6,"2019/10/07","dbgap"
"372","phs000007.v32.pht010732.v1.p13",103,163,266,"2020/12/21","dbgap"
"373","phs000576.v1.pht006139.v1.p1",116,128,244,"05/24/2017","dbgap"
"374","phs001279.v1.pht007204.v1.p1",15,23,38,"2017/12/08","dbgap"
"375","phs000286.v6.pht001977.v2.p2",1293,2159,3452,"2019/03/11","dbgap"
"376","phs000751.v1.pht003866.v1.p1",1090,526,1616,"05/30/2014","dbgap"
"377","phs001943.v1.pht009712.v1.p1",14,20,34,"2019/12/17","dbgap"
"378","phs001748.v1.pht008577.v1.p1",7,14,21,"2021/02/04","dbgap"
"379","phs000199.v1.pht000890.v1.p1",922,1104,2026,"01/06/2010","dbgap"
"380","phs001266.v2.pht007222.v2.p1",384,261,645,"2020/03/09","dbgap"
"381","phs000622.v1.pht003954.v1.p1",1559,1948,3507,"07/25/2014","dbgap"
