study_id,dbgap_id,male,female,unknown
3194,phs001242.v1.p1,0,0,1
3195,phs001243.v1.p1,0,0,54
3196,phs001244.v1.p1,145,58,8
3197,phs001245.v1.p1,3,2,2
3198,phs000803.v2.p1,0,22,0
3199,phs001246.v1.p1,12,14,7
3200,phs001247.v1.p1,451,448,0
3201,phs001248.v1.p1,42,52,0
3203,phs001249.v1.p1,0,0,110
3206,phs001251.v1.p1,2,2,0
3207,phs001252.v1.p1,1367,792,587
3209,phs001253.v1.p1,486,77,0
3213,phs001255.v1.p1,0,0,8
3218,phs000452.v3.p1,448,282,295
3219,phs001260.v1.p1,24,19,0
3220,phs001261.v1.p1,0,17,0
3223,phs001264.v1.p1,0,4,0
3224,phs001265.v1.p1,0,58908,1107
3237,phs001270.v1.p1,3,7,4
3243,phs000725.v2.p1,144,99,5
3249,phs001275.v1.p1,70,0,0
3250,phs001276.v1.p1,26,0,78
3251,phs001277.v1.p1,75,0,0
3252,phs001278.v1.p1,0,0,198
3253,phs001279.v1.p1,0,0,39
3264,phs000933.v2.p1,293,212,0
3265,phs001286.v1.p1,10463,2691,0
3267,phs001288.v1.p1,0,0,264
3268,phs001289.v1.p1,0,0,29
3269,phs001290.v1.p1,3297,2933,141
3270,phs001291.v1.p1,0,210,24
3281,phs000284.v2.p1,688,850,2038
3282,phs001297.v1.p1,369,352,180
3285,phs001300.v1.p1,1460,786,0
3289,phs001304.v1.p1,591,953,10
3290,phs001305.v1.p1,0,0,12
3292,phs001307.v1.p1,1400,0,0
3294,phs001309.v1.p1,0,0,159
3295,phs001310.v1.p1,0,0,56
3296,phs001311.v1.p1,0,0,62
3297,phs001312.v1.p1,2058,3160,0
3298,phs001313.v1.p1,0,0,17
3299,phs001314.v1.p1,0,0,17
3300,phs001315.v1.p1,4584,4320,197
3301,phs001316.v1.p1,0,0,3
3303,phs001318.v1.p1,0,0,50
3305,phs001320.v1.p1,0,0,59
3306,phs001321.v1.p1,0,11841,0
3311,phs001326.v1.p1,0,0,748
3313,phs001328.v1.p1,0,0,93
3319,phs001257.v2.p1,20,12,12
3321,phs000783.v2.p1,267,201,3
3325,phs001336.v1.p1,0,1,0
3326,phs001337.v1.p1,0,0,48447
3327,phs001338.v1.p1,0,0,27
3329,phs001340.v1.p1,0,0,24
3330,phs001341.v1.p1,106,158,2
3332,phs001342.v1.p1,30,16,0
3334,phs001343.v1.p1,1,0,124
3335,phs001344.v1.p1,0,52,0
3337,phs001346.v1.p1,73,146,0
3344,phs001351.v1.p1,0,0,2
3346,phs001352.v1.p1,0,0,30
3352,phs001357.v1.p1,228,196,0
3353,phs001358.v1.p1,1092,1230,19
3355,phs001360.v1.p1,486,1811,0
3360,phs001362.v1.p1,0,3,0
3361,phs001363.v1.p1,63,44,31
3362,phs001364.v1.p1,523,619,937
3363,phs001365.v1.p1,0,920,0
3364,phs001366.v1.p1,9,26,0
3365,phs001367.v1.p1,9474,10474,1556
3388,phs001256.v2.p1,50,18,95
3389,phs000747.v2.p1,40,0,0
3390,phs001370.v1.p1,57,42,45
3391,phs001371.v1.p1,0,0,20
3393,phs001372.v1.p1,912,655,0
3396,phs001231.v2.p1,100,48,0
3399,phs001376.v1.p1,4,5,0
3400,phs001377.v1.p1,321,44,0
3401,phs001378.v1.p1,4,2,4
3404,phs001380.v1.p1,2454,983,0
3406,phs001381.v1.p1,352,315,0
3408,phs001383.v1.p1,129,138,317
3409,phs001384.v1.p1,174,94,0
3410,phs001385.v1.p1,24,180,0
3414,phs001389.v1.p1,54,55,0
3416,phs001391.v1.p1,1950,0,0
3417,phs001392.v1.p1,0,0,30
3419,phs001394.v1.p1,314,451,405
3421,phs001396.v1.p1,749,821,3
3422,phs001397.v1.p1,352,469,1256
3424,phs001399.v1.p1,69,0,0
3426,phs001400.v1.p1,6,5,0
3429,phs001403.v1.p1,16,28,0
3430,phs001404.v1.p1,89,344,0
3438,phs001405.v1.p1,0,28,0
3439,phs001406.v1.p1,1170,1785,2244
3440,phs001407.v1.p1,4,42,0
3442,phs001409.v1.p1,0,4594,0
3445,phs001411.v1.p1,0,0,6385
3453,phs001418.v1.p1,13,20,0
3454,phs001419.v1.p1,0,0,1002
3467,phs001177.v2.p1,1541,1954,0
3468,phs001420.v1.p1,437,391,0
3469,phs001421.v1.p1,34,30,0
3471,phs000833.v7.p1,1822,4408,3040
3476,phs001424.v1.p1,21,15,0
3477,phs000694.v3.p2,0,0,39
3478,phs001425.v1.p1,54,31,0
3479,phs001426.v1.p1,129,117,164
3482,phs001428.v1.p1,16,1831,0
3484,phs000939.v2.p1,13,7,0
3487,phs001432.v1.p1,51,35,0
3489,phs001433.v1.p1,24,18,0
3495,phs001438.v1.p1,12,25,0
3496,phs001156.v2.p1,137,159,0
3498,phs001013.v3.p2,606,408,190
3500,phs001439.v1.p1,0,335,0
3502,phs001441.v1.p1,271,294,0
3505,phs001079.v2.p1,0,0,66
3510,phs001447.v1.p1,21,0,0
3511,phs001448.v1.p1,81,93,3
3525,phs001454.v1.p1,0,0,28
3526,phs001455.v1.p1,1905,3890,0
3529,phs001457.v1.p1,2840,7342,11
