"ega_stable_id";"male";"female";"unknown";"total";"date_study";"repository"
"EGAS00001000205";"0";"0";"1";"1";"2012-01-12";"EGA"
"EGAS00001000206";"0";"0";"257";"257";"2012-01-12";"EGA"
"EGAS00001000207";"0";"0";"21";"21";"2012-01-12";"EGA"
"EGAS00001000208";"0";"0";"16";"16";"2012-01-12";"EGA"
"EGAS00001000209";"0";"0";"18";"18";"2012-01-12";"EGA"
"EGAS00001000210";"0";"0";"55";"55";"2012-01-13";"EGA"
"EGAS00001000211";"0";"0";"391";"391";"2012-01-13";"EGA"
"EGAS00001000212";"0";"0";"130";"130";"2012-01-13";"EGA"
"EGAS00001000213";"0";"0";"2356";"2356";"2012-01-25";"EGA"
"EGAS00001000214";"0";"0";"12";"12";"2012-01-27";"EGA"
"EGAS00001000215";"235";"137";"1404";"1776";"2012-01-27";"EGA"
"EGAS00001000216";"0";"0";"43";"43";"2012-01-31";"EGA"
"EGAS00001000217";"0";"0";"48";"48";"2012-02-01";"EGA"
"EGAS00001000218";"0";"0";"6";"6";"2012-02-01";"EGA"
"EGAS00001000220";"0";"0";"6";"6";"2012-02-03";"EGA"
"EGAS00001000222";"0";"0";"628";"628";"2012-02-03";"EGA"
"EGAS00001000224";"0";"0";"764";"764";"2012-02-06";"EGA"
"EGAS00001000225";"0";"0";"137";"137";"2012-02-10";"EGA"
"EGAS00001000226";"0";"0";"54";"54";"2012-02-10";"EGA"
"EGAS00001000228";"0";"0";"4";"4";"2012-02-13";"EGA"
"EGAS00001000229";"0";"0";"966";"966";"2012-02-13";"EGA"
"EGAS00001000230";"0";"0";"6";"6";"2012-02-14";"EGA"
"EGAS00001000231";"0";"0";"28";"28";"2012-02-15";"EGA"
"EGAS00001000233";"0";"0";"20";"20";"2012-02-24";"EGA"
"EGAS00001000237";"6";"0";"4";"10";"2012-03-01";"EGA"
"EGAS00001000238";"102";"24";"214";"340";"2012-03-01";"EGA"
"EGAS00001000240";"0";"0";"86";"86";"2012-03-01";"EGA"
"EGAS00001000242";"0";"0";"1287";"1287";"2012-03-01";"EGA"
"EGAS00001000243";"0";"0";"106";"106";"2012-03-12";"EGA"
"EGAS00001000244";"0";"0";"51";"51";"2012-03-12";"EGA"
"EGAS00001000245";"0";"0";"2";"2";"2012-03-13";"EGA"
"EGAS00001000246";"0";"0";"2392";"2392";"2012-03-14";"EGA"
"EGAS00001000249";"176";"24";"0";"200";"2012-03-16";"EGA"
"EGAS00001000250";"0";"0";"4";"4";"2012-03-16";"EGA"
"EGAS00001000251";"0";"0";"22";"22";"2012-03-16";"EGA"
"EGAS00001000252";"0";"0";"199";"199";"2012-03-16";"EGA"
"EGAS00001000253";"0";"0";"2261";"2261";"2012-03-20";"EGA"
"EGAS00001000254";"0";"0";"2401";"2401";"2012-03-20";"EGA"
"EGAS00001000255";"0";"0";"1627";"1627";"2012-03-20";"EGA"
