study,female,male,unknown
EGAS00001004515,19,53,0
EGAS00001004516,9,0,0
EGAS00001004517,16,16,0
EGAS00001004518,2235,0,0
EGAS00001004519,30,68,0
EGAS00001004521,0,0,249
EGAS00001004523,4,14,4
EGAS00001004524,23,14,0
EGAS00001004525,6,50,0
EGAS00001004527,60,38,0
EGAS00001004528,60,38,0
EGAS00001004532,0,0,148
EGAS00001004533,0,0,63
EGAS00001004535,0,1,0
EGAS00001004536,98,157,0
EGAS00001004538,0,0,19
EGAS00001004540,144,173,0
EGAS00001004541,16,1,0
EGAS00001004542,102,262,0
EGAS00001004544,47,89,0
EGAS00001004545,20,34,0
EGAS00001004546,9,3,0
EGAS00001004548,22,48,0
EGAS00001004550,5,0,0
EGAS00001004554,587,148,0
EGAS00001004555,38,84,0
EGAS00001004558,6,4,0
EGAS00001004561,85,39,0
EGAS00001004562,0,0,64
EGAS00001004564,14,24,0
EGAS00001004567,8,24,0
EGAS00001004570,34,47,15
EGAS00001004571,64,61,16
EGAS00001004572,1099,1192,0
EGAS00001004574,16,14,0
EGAS00001004575,0,63,0
EGAS00001004576,16,32,0
EGAS00001004578,81,0,0
EGAS00001004582,336,0,0
EGAS00001004583,40,11,0
EGAS00001004587,1138,1652,0
EGAS00001004588,38,128,0
EGAS00001004592,19,15,0
EGAS00001004593,57,61,0
EGAS00001004594,612,0,0
EGAS00001004595,2,12,0
EGAS00001004597,56,0,0
EGAS00001004600,121,41,0
EGAS00001004601,69,0,0
EGAS00001004603,9,51,1
EGAS00001004610,46,81,0
EGAS00001004611,0,8,0
EGAS00001004612,0,0,25
EGAS00001004613,0,6,0
EGAS00001004614,1,1,0
EGAS00001004615,49,255,40
EGAS00001004619,0,0,187
EGAS00001004621,2,2,0
EGAS00001004623,12,12,0
EGAS00001004625,1005,276,1187
EGAS00001004629,26,157,0
EGAS00001004630,106,0,0
EGAS00001004632,16,12,0
EGAS00001004636,0,224,0
EGAS00001004639,58,40,0
EGAS00001004640,198,292,110
EGAS00001004641,730,0,0
EGAS00001004642,0,0,42
EGAS00001004646,3,0,0
EGAS00001004647,2,11,5
EGAS00001004648,0,4,0
EGAS00001004649,6,33,0
EGAS00001004650,151,109,0
EGAS00001004651,17,18,0
EGAS00001004653,10,17,0
EGAS00001004654,12,18,0
EGAS00001004655,139,135,1
EGAS00001004656,18,22,22
EGAS00001004659,34,68,22
EGAS00001004660,28,33,9
EGAS00001004661,15,10,0
EGAS00001004662,516,0,0
EGAS00001004663,0,12,0
EGAS00001004664,150,231,0
EGAS00001004665,196,0,0
EGAS00001004668,27,14,0
EGAS00001004669,0,0,10
EGAS00001004670,289,0,0
EGAS00001004671,0,0,12
EGAS00001004673,0,87,0
EGAS00001004674,0,0,616
EGAS00001004675,0,26,0
EGAS00001004682,112,259,0
EGAS00001004684,258,320,0
EGAS00001004689,3,7,0
EGAS00001004693,121,414,0
EGAS00001004695,4,14,0
EGAS00001004696,0,0,36
EGAS00001004697,12,8,0
EGAS00001004700,0,0,44
EGAS00001004701,0,0,576
EGAS00001004702,3,4,6
EGAS00001004705,43,95,0
EGAS00001004706,115,196,0
EGAS00001004707,0,0,14
EGAS00001004709,0,3,0
EGAS00001004710,166,178,0
EGAS00001004714,212,0,0
EGAS00001004716,20466,9534,0
EGAS00001004717,12,23,0
EGAS00001004719,7,16,0
EGAS00001004724,32,0,0
EGAS00001004727,0,0,7
EGAS00001004728,17,45,24
EGAS00001004729,0,0,572
EGAS00001004733,0,0,124
EGAS00001004735,138,117,0
EGAS00001004736,10,2,0
EGAS00001004739,3,4,115
EGAS00001004740,0,0,62
EGAS00001004741,0,0,62
EGAS00001004742,0,0,62
EGAS00001004743,0,0,62
EGAS00001004744,0,0,62
EGAS00001004745,0,0,62
EGAS00001004746,47,77,0
EGAS00001004748,2,2,0
EGAS00001004749,28,33,6
EGAS00001004750,24,33,0
EGAS00001004751,26,22,0
EGAS00001004752,0,0,1110
EGAS00001004754,663,271,0
EGAS00001004755,710,0,0
EGAS00001004756,48,0,0
EGAS00001004757,12,27,75
EGAS00001004758,0,291,0
EGAS00001004760,0,0,2328
EGAS00001004763,6,50,0
EGAS00001004764,0,0,16
EGAS00001004765,0,11,0
EGAS00001004766,55,114,0
EGAS00001004767,15,20,0
EGAS00001004768,2,2,22
EGAS00001004769,2,2,22
EGAS00001004770,0,20,0
EGAS00001004772,9,24,0
EGAS00001004773,24,0,0
EGAS00001004777,0,6,0
EGAS00001004780,0,0,91
EGAS00001004782,0,6,0
EGAS00001004783,35,16,0
EGAS00001004784,0,95,0
EGAS00001004788,0,0,152
EGAS00001004789,0,11,0
EGAS00001004791,6,6,0
EGAS00001004792,35,50,0
EGAS00001004793,1,2,0
EGAS00001004794,0,0,103
EGAS00001004795,0,0,103
EGAS00001004796,6,6,0
EGAS00001004797,0,0,21
EGAS00001004798,0,0,11
EGAS00001004800,0,368,0
EGAS00001004805,36,55,0
EGAS00001004808,34,34,0
EGAS00001004809,159,0,0
EGAS00001004810,224,322,6
EGAS00001004812,110,297,0
EGAS00001004814,79,0,0
EGAS00001004816,0,0,151
EGAS00001004820,1191,1147,0
EGAS00001004821,31,31,0
EGAS00001004824,480,139,0
EGAS00001004825,0,0,12
EGAS00001004826,0,0,6368
EGAS00001004827,3,3,6
EGAS00001004828,0,1,0
EGAS00001004829,2,0,0
EGAS00001004830,44,60,0
EGAS00001004832,0,0,120
EGAS00001004833,0,0,65
EGAS00001004835,0,0,7
EGAS00001004836,21,0,34
EGAS00001004837,1,2,1
EGAS00001004839,1,1,0
EGAS00001004844,0,0,2383
EGAS00001004847,220,296,0
EGAS00001004850,0,0,228
EGAS00001004851,7,5,0
EGAS00001004852,0,400,0
EGAS00001004857,0,9,0
EGAS00001004860,15,6,0
EGAS00001004861,16,24,0
EGAS00001004862,176,770,0
EGAS00001004864,0,0,1
EGAS00001004867,0,22,0
EGAS00001004868,10,5,0
EGAS00001004869,83,51,0
EGAS00001004870,7780,5703,6
EGAS00001004871,7,8,0
EGAS00001004872,72,37,0
EGAS00001004877,0,0,23
EGAS00001004878,9,17,0
EGAS00001004879,162,259,0
EGAS00001004880,38,36,0
EGAS00001004881,14,6,0
EGAS00001004885,37,63,0
EGAS00001004886,96,52,16
EGAS00001004888,0,0,813
EGAS00001004889,47,127,0
EGAS00001004890,130,0,0
EGAS00001004894,10,101,0
EGAS00001004895,111,82,45
EGAS00001004897,0,0,7
EGAS00001004899,2,0,0
EGAS00001004900,141,0,0
EGAS00001004902,8,0,0
EGAS00001004903,0,42,0
EGAS00001004904,0,34,0
EGAS00001004905,107,111,0
EGAS00001004906,10,23,40
EGAS00001004907,0,57,0
EGAS00001004908,12,24,0
EGAS00001004912,0,0,12
EGAS00001004913,125,145,1
EGAS00001004915,0,6,0
EGAS00001004918,0,0,100
EGAS00001004925,86,0,0
EGAS00001004926,9,32,40
EGAS00001004927,19,67,0
EGAS00001004928,3,5,2
EGAS00001004931,0,0,100
EGAS00001004933,2615,1880,112
EGAS00001004934,0,0,228
EGAS00001004935,118,0,0
EGAS00001004936,109,124,0
EGAS00001004940,64,2,0
EGAS00001004941,24,39,0
EGAS00001004943,495,271,0
EGAS00001004944,44,0,0
EGAS00001004946,9,0,0
EGAS00001004947,11,0,0
EGAS00001004948,7,0,0
EGAS00001004949,94,151,0
EGAS00001004950,178,31,0
EGAS00001004951,46,176,28
EGAS00001004953,94,0,0
EGAS00001004959,120,112,0
EGAS00001004960,16,0,0
EGAS00001004962,87,168,0
EGAS00001004964,170,150,0
EGAS00001004966,15,16,0
EGAS00001004967,0,0,89
EGAS00001004968,0,0,89
EGAS00001004969,0,0,89
EGAS00001004970,0,0,89
EGAS00001004971,0,0,89
EGAS00001004973,0,0,24
EGAS00001004975,6,10,2
EGAS00001004979,0,0,205
EGAS00001004982,188,130,0
EGAS00001004987,12,0,0
EGAS00001004988,0,0,12
EGAS00001004989,9,10,0
EGAS00001004990,6,24,0
EGAS00001004992,1,12,0
EGAS00001004994,192,0,0
EGAS00001004995,95,55,0
EGAS00001004996,79,146,0
EGAS00001004997,1342,4768,0
EGAS00001004998,163,126,23
EGAS00001004999,27,21,0
EGAS00001005000,0,13,0
EGAS00001005001,4,6,0
EGAS00001005004,29,0,0
EGAS00001005008,18,10,9
EGAS00001005011,8,9,0
EGAS00001005012,671,620,186
EGAS00001005013,329,562,0
EGAS00001005015,7,8,0
EGAS00001005018,0,21,0
EGAS00001005019,15,16,0
EGAS00001005020,0,0,7231
EGAS00001005021,29,6,0
EGAS00001005022,17,20,0
EGAS00001005023,11,43,0
EGAS00001005026,3702,3912,0
EGAS00001005027,4780,3464,0
EGAS00001005029,18,5,0
EGAS00001005030,18,22,0
EGAS00001005032,0,0,100
EGAS00001005033,281,0,0
EGAS00001005038,0,0,7231
EGAS00001005039,0,0,15
EGAS00001005040,1,1,0
EGAS00001005042,1267,1232,9
EGAS00001005045,506,0,0
EGAS00001005046,11,0,0
EGAS00001005050,8,39,0
EGAS00001005051,2,4,433
EGAS00001005052,745,426,0
EGAS00001005054,0,0,139
EGAS00001005055,3742,0,0
EGAS00001005060,0,4,0
EGAS00001005061,5,0,0
EGAS00001005065,10,5,0
EGAS00001005066,4,0,0
EGAS00001005068,16,144,0
EGAS00001005069,9,6,0
EGAS00001005070,133,0,0
EGAS00001005071,0,5,0
EGAS00001005073,36,201,0
EGAS00001005075,42,62,0
EGAS00001005076,424,0,0
EGAS00001005077,9,4,0
EGAS00001005081,0,0,143
EGAS00001005083,0,0,1094
EGAS00001005084,91,142,116
EGAS00001005085,0,0,59
EGAS00001005086,9,0,0
EGAS00001005087,19,50,0
EGAS00001005093,0,0,198
EGAS00001005096,41,35,0
EGAS00001005097,2,36,0
EGAS00001005099,301156,147356,364
EGAS00001005102,0,0,3
EGAS00001005104,225,198,0
EGAS00001005107,40,51,15
EGAS00001005108,94,140,0
EGAS00001005109,150,72,0
EGAS00001005110,0,0,1
EGAS00001005115,18,0,0
EGAS00001005116,3,0,0
EGAS00001005121,2,2,22
EGAS00001005125,22,20,0
EGAS00001005127,136,207,3
EGAS00001005128,27,0,0
EGAS00001005130,27,0,0
EGAS00001005132,36,47,0
EGAS00001005134,13,0,0
EGAS00001005137,0,17,0
EGAS00001005138,32,0,0
EGAS00001005140,13,15,0
EGAS00001005147,3,63,0
EGAS00001005151,0,0,4
EGAS00001005159,0,0,56
EGAS00001005160,0,0,64
EGAS00001005161,0,0,52
EGAS00001005171,0,0,1243
EGAS00001005173,26,0,0
EGAS00001005174,0,0,2
EGAS00001005178,1,0,0
EGAS00001005180,10,12,0
EGAS00001005181,0,1,0
EGAS00001005182,21,17,0
EGAS00001005187,30,17,0
EGAS00001005188,182,0,0
EGAS00001005199,53,19,0
EGAS00001005201,9,7,0
EGAS00001005202,8,3,17
EGAS00001005204,0,146,0
EGAS00001005206,0,14,0
EGAS00001005214,0,6,0
EGAS00001005215,0,6,0
EGAS00001005220,4,0,0
EGAS00001005221,5,39,0
EGAS00001005222,12,54,0
EGAS00001005224,0,0,5
EGAS00001005225,48,18,0
EGAS00001005230,0,0,661
EGAS00001005232,143,90,16
EGAS00001005234,4,2,0
EGAS00001005237,9,16,0
EGAS00001005242,539,221,0
EGAS00001005243,7,10,0
EGAS00001005245,31,9,0
EGAS00001005248,0,0,182
EGAS00001005255,0,0,43
EGAS00001005256,0,0,3
EGAS00001005258,1,10,0
EGAS00001005263,180,96,0
EGAS00001005268,0,0,142
EGAS00001005274,16,23,0
EGAS00001005276,24,12,0
EGAS00001005277,0,57,0
EGAS00001005280,3,8,0
EGAS00001005281,5,0,1
EGAS00001005286,0,0,19
EGAS00001005299,16,82,0
EGAS00001005300,373,645,0
EGAS00001005303,14,25,0
EGAS00001005304,4493,6373,4
EGAS00001005305,7,17,0
EGAS00001005312,121,142,0
EGAS00001005313,4,0,0
EGAS00001005314,46,28,0
EGAS00001005317,84,99,1
EGAS00001005319,0,0,491
EGAS00001005320,6,0,0
EGAS00001005321,9,13,0
EGAS00001005323,1092,0,0
EGAS00001005325,0,0,19
EGAS00001005326,33,46,0
EGAS00001005328,12,70,0
EGAS00001005329,0,0,229
EGAS00001005331,0,6,0
EGAS00001005332,292,476,0
EGAS00001005339,58,56,0
EGAS00001005340,452,420,0
EGAS00001005341,64,23,0
EGAS00001005343,96,310,0
EGAS00001005345,0,1,0
EGAS00001005346,1,3,0
EGAS00001005347,0,0,6
EGAS00001005348,1350,1055,5
EGAS00001005350,72,58,0
EGAS00001005352,4,35,0
EGAS00001005354,1,2,0
EGAS00001005355,0,2,0
EGAS00001005356,55,54,0
EGAS00001005357,2,2,0
EGAS00001005358,8,0,0
EGAS00001005359,126,210,60
EGAS00001005363,6,3,0
EGAS00001005366,0,6,0
EGAS00001005368,0,1,0
EGAS00001005369,47,46,0
EGAS00001005372,1,2,0
EGAS00001005373,15593,12429,0
EGAS00001005376,462,378,148
EGAS00001005377,0,0,8
EGAS00001005378,27,25,0
EGAS00001005379,107,68,2
EGAS00001005380,0,0,11
EGAS00001005384,8,11,0
EGAS00001005387,8,7,1
EGAS00001005392,12,12,0
EGAS00001005393,30,28,0
EGAS00001005394,0,0,161
EGAS00001005395,20,0,0
EGAS00001005396,9,9,0
EGAS00001005398,0,2,0
EGAS00001005399,0,33,0
EGAS00001005401,49,44,6
EGAS00001005402,36,8,0
EGAS00001005403,5,11,0
EGAS00001005405,0,5,1
EGAS00001005407,0,0,5
EGAS00001005408,0,0,96
EGAS00001005411,167,215,0
EGAS00001005412,3278,4003,0
EGAS00001005414,35,0,0
EGAS00001005417,200,355,0
EGAS00001005418,0,0,8
EGAS00001005420,27,27,19
EGAS00001005421,679,1271,0
EGAS00001005422,106,115,0
EGAS00001005424,0,0,27
EGAS00001005430,30,55,0
EGAS00001005431,169,268,0
EGAS00001005432,169,268,0
EGAS00001005433,169,268,0
EGAS00001005434,59,74,0
EGAS00001005435,234,309,2
EGAS00001005436,0,0,346
EGAS00001005437,228,434,0
EGAS00001005448,0,0,3
EGAS00001005454,0,0,62
EGAS00001005455,96,0,0
EGAS00001005457,0,0,818
EGAS00001005458,971,821,0
EGAS00001005461,43,43,0
EGAS00001005462,0,0,89
EGAS00001005464,66,54,0
EGAS00001005465,76,79,35
EGAS00001005466,0,0,64
EGAS00001005470,58,117,0
EGAS00001005478,51,94,0
EGAS00001005480,8,21,0
EGAS00001005482,75,65,0
EGAS00001005493,912,989,77
EGAS00001005495,52,109,6
EGAS00001005496,0,3,0
EGAS00001005498,74,0,0
EGAS00001005499,48,35,0
EGAS00001005502,3,7,0
EGAS00001005507,40,94,0
EGAS00001005511,217,383,0
EGAS00001005512,217,383,0
EGAS00001005513,6,18,0
EGAS00001005516,43,76,2
EGAS00001005517,1440,0,0
EGAS00001005518,10,2,0
EGAS00001005522,0,30,0
EGAS00001005524,72,54,0
EGAS00001005530,0,0,47
EGAS00001005532,253,106,0
EGAS00001005533,0,0,144
EGAS00001005535,104,146,4
EGAS00001005536,2,8,0
EGAS00001005539,175,144,0
EGAS00001005540,16,40,10
EGAS00001005541,6,21,0
EGAS00001005543,5,9,7
EGAS00001005550,0,0,51
EGAS00001005554,549,609,0
EGAS00001005556,0,0,876
EGAS00001005558,17,76,0
EGAS00001005560,0,0,62
EGAS00001005569,77,78,0
EGAS00001005573,69,67,0
EGAS00001005577,36,0,0
EGAS00001005579,0,0,79
EGAS00001005582,27,9,0
EGAS00001005583,18,27,0
EGAS00001005588,14,14,17
EGAS00001005591,3,6,0
EGAS00001005593,5,19,1
EGAS00001005597,1,0,0
EGAS00001005600,2,14,0
EGAS00001005601,350,0,0
EGAS00001005604,45,84,1
EGAS00001005605,3,2,0
EGAS00001005606,27,95,17
EGAS00001005610,0,0,2
EGAS00001005612,7,17,0
EGAS00001005613,0,0,1
EGAS00001005616,49,140,0
EGAS00001005618,0,0,1
EGAS00001005626,688,0,0
EGAS00001005627,69,76,0
EGAS00001005632,121,83,0
EGAS00001005633,12,12,0
EGAS00001005634,1,4,0
EGAS00001005638,8,64,0
EGAS00001005640,0,64,0
EGAS00001005647,64,22,0
EGAS00001005648,0,0,32
EGAS00001005653,2,0,0
EGAS00001005655,70,85,0
EGAS00001005662,6,41,0
EGAS00001005673,1,0,0
EGAS00001005685,0,6,0
EGAS00001005689,9,0,0
EGAS00001005690,2,2,3
